name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,Ranked #156,"ActionAction,",,Finished,24,23,"['Jan10', '2015']","['Jun20', '2015']",19.715
Karakai Jouzu no Takagi-san 3,Ranked #157,,"IyashikeiIyashikei,",Finished,12,24,"['Jan8', '2022']","['Mar26', '2022']",2.238
Gintama: Yorinuki Gintama-san on Theater 2D,Ranked #158,"ActionAction,",Gag,Finished,2,1,"['Aug26', '2012']",[''],44
Grand Blue,Ranked #159,,,Finished,12,24,"['Jul14', '2018']","['Sep29', '2018']",18.139
Kono Oto Tomare! Part 2,Ranked #160,"DramaDrama,","MusicMusic,",Finished,13,23,"['Oct6', '2019']","['Dec29', '2019']",1.615
Mononoke,Ranked #161,"FantasyFantasy,",Adult,Finished,12,22,"['Jul13', '2007']","['Sep28', '2007']",7.641
Saenai Heroine no Sodatekata Fine,Ranked #162,"ComedyComedy,","HaremHarem,",Finished,1,1,"['Oct26', '2019']",[''],2.382
Saiki Kusuo no Ψ-nan 2,Ranked #163,"ComedyComedy,",Gag,Finished,24,24,"['Jan17', '2018']","['Jun27', '2018']",4.002
Tian Guan Ci Fu Special,Ranked #164,"DramaDrama,",,Finished,1,22,"['Feb16', '2021']",[''],394
Koukaku Kidoutai: Stand Alone Complex,Ranked #165,"ActionAction,",Adult,Finished,26,25,"['Oct1', '2002']","['Oct1', '2003']",8.378
Mo Dao Zu Shi: Xian Yun Pian,Ranked #166,"ActionAction,","HistoricalHistorical,",Finished,8,24,"['Aug3', '2019']","['Sep21', '2019']",1.150
Saiki Kusuo no Ψ-nan,Ranked #167,"ComedyComedy,",Gag,Finished,120,5,"['Jul4', '2016']","['Dec26', '2016']",27.280
Vivy: Fluorite Eye's Song,Ranked #168,"ActionAction,","MusicMusic,",Finished,13,24,"['Apr3', '2021']","['Jun19', '2021']",9.843
Josee to Tora to Sakana-tachi,Ranked #174,"DramaDrama,",,Finished,1,1,"['Dec25', '2020']",[''],5.541
Hunter x Hunter,Ranked #173,"ActionAction,",,Finished,62,23,"['Oct16', '1999']","['Mar31', '2001']",10.367
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Ranked #175,,"PsychologicalPsychological,",Finished,12,25,"['Jan12', '2019']","['Mar30', '2019']",37.065
Major S5,Ranked #170,,,Finished,25,24,"['Jan10', '2009']","['Jun27', '2009']",622
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Ranked #171,"DramaDrama,","IyashikeiIyashikei,",Finished,1,1,"['Sep29', '2018']",[''],186
Shingeki no Kyojin: Kuinaki Sentaku,Ranked #172,,,Finished,2,27,"['Dec9', '2014']","['Apr9', '2015']",1.847
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Ranked #169,"DramaDrama,",,Finished,1,1,"['Sep6', '2019']",[''],1.415
Wu Liuqi: Xuanwu Guo Pian,Ranked #178,"ActionAction,",Martial,Finished,10,16,"['Jan21', '2021']","['May5', '2021']",729
Gintama°: Aizome Kaori-hen,Ranked #176,,Gag,Finished,2,26,"['Aug4', '2016']","['Nov4', '2016']",133
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Ranked #177,"ActionAction,",,Finished,1,2,"['Aug8', '2009']",[''],2.267
Natsume Yuujinchou Roku Specials,Ranked #179,"DramaDrama,","IyashikeiIyashikei,",Finished,2,23,"['Sep27', '2017']","['Oct25', '2017']",67
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Ranked #180,"DramaDrama,",,Finished,1,1,"['Feb24', '2018']",[''],6.867
Tensei shitara Slime Datta Ken 2nd Season,Ranked #181,"ActionAction,","IsekaiIsekai,",Finished,12,23,"['Jan12', '2021']","['Mar30', '2021']",10.280
Tian Guan Ci Fu,Ranked #195,"ActionAction,",,Finished,11,25,"['Oct31', '2020']","['Jan2', '2021']",4.377
Chihayafuru 2,Ranked #182,"DramaDrama,",Love,Finished,25,22,"['Jan12', '2013']","['Jun29', '2013']",1.587
Cross Game,Ranked #183,"DramaDrama,","SchoolSchool,",Finished,50,23,"['Apr5', '2009']","['Mar28', '2010']",2.987
