name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
Mononoke Hime,61,Action,,Finished,1.0,2,Apr;12;2023,;,20.406
Made in Abyss,62,Adventure,Gore,Finished,13.0,25,Apr;12;2023,Sep;29;2017,41.349
Mushishi,63,Adventure,Adult,Finished,26.0,23,Apr;12;2023,Jun;19;2006,25.769
Hajime no Ippo: New Challenger,64,,,Finished,26.0,23,Apr;12;2023,Jul;1;2009,1.676
Howl no Ugoku Shiro,65,Adventure,,Finished,1.0,1,Apr;12;2023,;,26.363
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,66,Action,,Finished,14.0,24,Apr;12;2023,;,2.273
Jujutsu Kaisen,67,Action,,Finished,24.0,23,Apr;12;2023,Mar;27;2021,79.927
Natsume Yuujinchou Shi,68,Drama,Iyashikei,Finished,13.0,24,Apr;12;2023,Mar;27;2012,1.938
Shigatsu wa Kimi no Uso,69,Drama,Music,Finished,22.0,22,Apr;12;2023,Mar;20;2015,82.806
Spy x Family,70,Action,,Finished,12.0,24,Apr;12;2023,Jun;25;2022,37.299
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,71,,Psychological,Finished,12.0,24,Apr;12;2023,Jun;27;2020,18.559
Haikyuu!! Second Season,72,,School,Finished,25.0,24,Apr;12;2023,Mar;27;2016,15.455
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,73,Adventure,Gore,Finished,1.0,1,Apr;12;2023,;,3.279
Tengen Toppa Gurren Lagann,74,Action,,Finished,27.0,24,Apr;12;2023,Sep;30;2007,75.333
Natsume Yuujinchou Roku,75,Drama,Iyashikei,Finished,11.0,23,Apr;12;2023,Jun;21;2017,1.038
Ping Pong the Animation,76,Award,,Finished,11.0,23,Apr;12;2023,Jun;20;2014,15.028
Shingeki no Kyojin Season 3,77,Action,Gore,Finished,12.0,23,Apr;12;2023,Oct;15;2018,19.605
Death Note,78,Supernatural,Detective,Finished,37.0,23,Apr;12;2023,Jun;27;2007,165.985
Kimetsu no Yaiba Movie: Mugen Ressha-hen,79,Action,,Finished,1.0,1,Apr;12;2023,;,12.564
Chainsaw Man,80,Action,,Finished,12.0,24,Apr;12;2023,Dec;28;2022,39.754
Cyberpunk: Edgerunners,81,Action,Gore,Finished,10.0,25,Apr;12;2023,;,17.879
Evangelion: 3.0+1.0 Thrice Upon a Time,82,Action,Mecha,Finished,1.0,2,Apr;12;2023,;,6.756
Mo Dao Zu Shi: Wanjie Pian,83,Action,Historical,Finished,12.0,24,Apr;12;2023,Oct;16;2021,1.481
Suzumiya Haruhi no Shoushitsu,84,Award,,Finished,1.0,2,Apr;12;2023,;,13.116
Mushishi Zoku Shou: Suzu no Shizuku,85,Adventure,Adult,Finished,1.0,47,Apr;12;2023,;,209.0
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,86,Drama,,Finished,1.0,1,Apr;12;2023,;,9.829
Hajime no Ippo: Rising,87,,,Finished,25.0,22,Apr;12;2023,Mar;30;2014,1.167
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,88,Action,,Finished,39.0,23,Apr;12;2023,Jul;28;2019,30.024
Kizumonogatari II: Nekketsu-hen,89,Action,,Finished,1.0,1,Apr;12;2023,;,2.239
Natsume Yuujinchou San,90,Drama,Iyashikei,Finished,13.0,24,Apr;12;2023,Sep;27;2011,1.351
Ookami Kodomo no Ame to Yuki,91,Award,,Finished,1.0,1,Apr;12;2023,;,11.045
Natsume Yuujinchou Go,92,Drama,Iyashikei,Finished,11.0,23,Apr;12;2023,Dec;21;2016,800.0
Shouwa Genroku Rakugo Shinjuu,93,,Historical,Finished,13.0,26,Apr;12;2023,Apr;2;2016,5.688
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,94,Action,Mecha,Finished,1.0,2,Apr;12;2023,;,933.0
Yojouhan Shinwa Taikei,95,Award,Psychological,Finished,11.0,22,Apr;12;2023,Jul;2;2010,17.545
Fruits Basket 2nd Season,96,Drama,,Finished,25.0,23,Apr;12;2023,Sep;22;2020,5.642
Kenpuu Denki Berserk,97,Action,Gore,Finished,25.0,25,Apr;12;2023,Apr;1;1998,24.928
Kimi no Suizou wo Tabetai,98,Drama,,Finished,1.0,1,Apr;12;2023,;,19.205
Ousama Ranking,99,Adventure,,Finished,23.0,22,Apr;12;2023,Mar;25;2022,11.769
Neon Genesis Evangelion: The End of Evangelion,100,Avant,Mecha,Finished,1.0,1,Apr;12;2023,;,26.882
Zoku Natsume Yuujinchou,101,Drama,Iyashikei,Finished,13.0,24,Apr;12;2023,Mar;31;2009,1.405
Fate/Zero 2nd Season,102,Action,,Finished,12.0,24,Apr;12;2023,Jun;24;2012,19.981
Karakai Jouzu no Takagi-san Movie,103,,Iyashikei,Finished,1.0,1,Apr;12;2023,;,598.0
Haikyuu!! To the Top Part 2,104,,School,Finished,12.0,23,Apr;12;2023,Dec;19;2020,5.872
Mushishi: Hihamukage,105,Adventure,Historical,Finished,1.0,45,Apr;12;2023,;,181.0
Nana,106,Drama,Adult,Finished,47.0,23,Apr;12;2023,Mar;28;2007,26.74
Perfect Blue,107,Avant,Adult,Finished,1.0,1,Apr;12;2023,;,17.372
Slam Dunk,108,,School,Finished,101.0,23,Apr;12;2023,Mar;23;1996,6.786
Suzume no Tojimari,124,,,Finished,1.0,2,Apr;12;2023,;,1.943
Shingeki no Kyojin,109,Action,Gore,Finished,25.0,24,Apr;12;2023,Sep;29;2013,162.106
Shoujo☆Kageki Revue Starlight Movie,110,,Music,Finished,1.0,2,Apr;12;2023,;,626.0
Sora yori mo Tooi Basho,111,Adventure,,Finished,13.0,23,Apr;12;2023,Mar;27;2018,13.42
Steins;Gate 0,112,Drama,,Finished,23.0,23,Apr;12;2023,Sep;27;2018,11.254
Bakuman. 3rd Season,113,Comedy,,Finished,25.0,24,Apr;12;2023,Mar;30;2013,2.928
Kara no Kyoukai Movie 5: Mujun Rasen,114,Action,,Finished,1.0,1,Apr;12;2023,;,4.481
Yuru Camp△ Season 2,115,,CGDCT,Finished,13.0,23,Apr;12;2023,Apr;1;2021,2.865
Yakusoku no Neverland,116,Mystery,Psychological,Finished,12.0,22,Apr;12;2023,Mar;29;2019,32.051
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,117,Action,Adult,Finished,26.0,25,Apr;12;2023,Jan;8;2005,3.085
Summertime Render,118,Mystery,,Finished,25.0,23,Apr;12;2023,Sep;30;2022,6.727
Gintama Movie 1: Shinyaku Benizakura-hen,119,Action,Historical,Finished,1.0,1,Apr;12;2023,;,596.0
Gintama.: Porori-hen,120,Action,Gag,Finished,13.0,23,Apr;12;2023,Dec;25;2017,871.0
Hotaru no Haka,121,,,Finished,1.0,1,Apr;12;2023,;,7.48
Kimetsu no Yaiba,122,Action,,Finished,26.0,23,Apr;12;2023,Sep;28;2019,86.953
Road of Naruto,126,Action,,Finished,1.0,9,Apr;12;2023,;,100.0
Samurai Champloo,123,Action,Historical,Finished,26.0,24,Apr;12;2023,Mar;19;2005,35.784
One Punch Man,125,Action,Adult,Finished,12.0,24,Apr;12;2023,Dec;21;2015,61.807
Shingeki no Kyojin Season 2,127,Action,Gore,Finished,12.0,24,Apr;12;2023,Jun;17;2017,20.708
Uchuu Kyoudai,128,Comedy,Adult,Finished,99.0,24,Apr;12;2023,Mar;22;2014,3.775
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,129,Action,,Finished,1.0,1,Apr;12;2023,;,3.349
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,130,Action,,Finished,39.0,23,Apr;12;2023,Dec;24;2016,37.604
Ansatsu Kyoushitsu 2nd Season,131,Action,,Finished,25.0,23,Apr;12;2023,Jul;1;2016,17.178
Aria the Origination,132,Fantasy,,Finished,13.0,24,Apr;12;2023,Apr;1;2008,4.016
Banana Fish,133,Action,Delinquents,Finished,24.0,22,Apr;12;2023,Dec;21;2018,28.638
Mob Psycho 100,134,Action,,Finished,12.0,24,Apr;12;2023,Sep;27;2016,44.812
Rainbow: Nisha Rokubou no Shichinin,135,Drama,Delinquents,Finished,26.0,22,Apr;12;2023,Sep;29;2010,8.204
The First Slam Dunk,139,,School,Finished,1.0,2,Apr;12;2023,;,125.0
Bungou Stray Dogs 4th Season,140,Action,Adult,Finished,13.0,23,Apr;12;2023,Mar;29;2023,2.46
Jujutsu Kaisen 0 Movie,136,Action,,Finished,1.0,1,Apr;12;2023,;,8.489
Yuru Camp△ Movie,137,,Adult,Finished,1.0,2,Apr;12;2023,;,320.0
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,138,Award,Mahou,Finished,1.0,1,Apr;12;2023,;,8.267
Chihayafuru 3,141,Drama,Love,Finished,24.0,22,Apr;12;2023,Mar;25;2020,1.431
Gintama: The Semi-Final,142,Action,Gag,Finished,2.0,24,Apr;12;2023,Jan;20;2021,232.0
Fruits Basket: Prelude,143,Drama,,Finished,1.0,1,Apr;12;2023,;,733.0
Yuu☆Yuu☆Hakusho,144,Action,Martial,Finished,112.0,24,Apr;12;2023,Jan;7;1995,21.44
Nichijou,145,,Gag,Finished,26.0,23,Apr;12;2023,Sep;25;2011,22.362
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,146,Adventure,Isekai,Finished,1.0,1,Apr;12;2023,;,4.627
Owarimonogatari,147,Comedy,,Finished,12.0,26,Apr;12;2023,Dec;20;2015,2.781
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,148,Drama,Isekai,Finished,12.0,29,Apr;12;2023,Mar;24;2021,11.793
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,149,Drama,,Finished,1.0,1,Apr;12;2023,;,2.515
Golden Kamuy 3rd Season,150,Action,Adult,Finished,12.0,23,Apr;12;2023,Dec;21;2020,1.393
Jigokuraku,151,Action,Gore,Currently,13.0,24,Apr;12;2023,?;,2.079
Zoku Owarimonogatari,152,Comedy,,Finished,6.0,28,Apr;12;2023,;,936.0
Mo Dao Zu Shi,153,Action,Historical,Finished,15.0,25,Apr;12;2023,Oct;6;2018,6.239
Mushishi Zoku Shou: Odoro no Michi,154,Adventure,Adult,Finished,1.0,47,Apr;12;2023,;,116.0
Haikyuu!!,155,,School,Finished,25.0,24,Apr;12;2023,Sep;21;2014,70.382
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,156,Action,,Finished,24.0,23,Apr;12;2023,Jun;20;2015,19.715
Karakai Jouzu no Takagi-san 3,157,,Iyashikei,Finished,12.0,24,Apr;12;2023,Mar;26;2022,2.238
Gintama: Yorinuki Gintama-san on Theater 2D,158,Action,Gag,Finished,2.0,1,Apr;12;2023,;,44.0
Grand Blue,159,,,Finished,12.0,24,Apr;12;2023,Sep;29;2018,18.139
Kono Oto Tomare! Part 2,160,Drama,Music,Finished,13.0,23,Apr;12;2023,Dec;29;2019,1.615
Mononoke,161,Fantasy,Adult,Finished,12.0,22,Apr;12;2023,Sep;28;2007,7.641
Saenai Heroine no Sodatekata Fine,162,Comedy,Harem,Finished,1.0,1,Apr;12;2023,;,2.382
Saiki Kusuo no Ψ-nan 2,163,Comedy,Gag,Finished,24.0,24,Apr;12;2023,Jun;27;2018,4.002
Tian Guan Ci Fu Special,164,Drama,,Finished,1.0,22,Apr;12;2023,;,394.0
Koukaku Kidoutai: Stand Alone Complex,165,Action,Adult,Finished,26.0,25,Apr;12;2023,Oct;1;2003,8.378
Mo Dao Zu Shi: Xian Yun Pian,166,Action,Historical,Finished,8.0,24,Apr;12;2023,Sep;21;2019,1.15
Saiki Kusuo no Ψ-nan,167,Comedy,Gag,Finished,120.0,5,Apr;12;2023,Dec;26;2016,27.28
Vivy: Fluorite Eye's Song,168,Action,Music,Finished,13.0,24,Apr;12;2023,Jun;19;2021,9.843
Josee to Tora to Sakana-tachi,174,Drama,,Finished,1.0,1,Apr;12;2023,;,5.541
Hunter x Hunter,173,Action,,Finished,62.0,23,Apr;12;2023,Mar;31;2001,10.367
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,175,,Psychological,Finished,12.0,25,Apr;12;2023,Mar;30;2019,37.065
Major S5,170,,,Finished,25.0,24,Apr;12;2023,Jun;27;2009,622.0
Natsume Yuujinchou Movie: Utsusemi ni Musubu,171,Drama,Iyashikei,Finished,1.0,1,Apr;12;2023,;,186.0
Shingeki no Kyojin: Kuinaki Sentaku,172,,,Finished,2.0,27,Apr;12;2023,Apr;9;2015,1.847
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,169,Drama,,Finished,1.0,1,Apr;12;2023,;,1.415
Wu Liuqi: Xuanwu Guo Pian,178,Action,Martial,Finished,10.0,16,Apr;12;2023,May;5;2021,729.0
Gintama°: Aizome Kaori-hen,176,,Gag,Finished,2.0,26,Apr;12;2023,Nov;4;2016,133.0
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),177,Action,,Finished,1.0,2,Apr;12;2023,;,2.267
Natsume Yuujinchou Roku Specials,179,Drama,Iyashikei,Finished,2.0,23,Apr;12;2023,Oct;25;2017,67.0
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,180,Drama,,Finished,1.0,1,Apr;12;2023,;,6.867
Tensei shitara Slime Datta Ken 2nd Season,181,Action,Isekai,Finished,12.0,23,Apr;12;2023,Mar;30;2021,10.28
Tian Guan Ci Fu,195,Action,,Finished,11.0,25,Apr;12;2023,Jan;2;2021,4.377
Chihayafuru 2,182,Drama,Love,Finished,25.0,22,Apr;12;2023,Jun;29;2013,1.587
Cross Game,183,Drama,School,Finished,50.0,23,Apr;12;2023,Mar;28;2010,2.987
Houseki no Kuni,184,Action,,Finished,12.0,24,Apr;12;2023,Dec;23;2017,12.472
Kamisama Hajimemashita: Kako-hen,185,Comedy,Mythology,Finished,4.0,30,Apr;12;2023,Aug;19;2016,966.0
Kaze ga Tsuyoku Fuiteiru,186,Drama,,Finished,23.0,23,Apr;12;2023,Mar;27;2019,5.76
Kimetsu no Yaiba: Mugen Ressha-hen,187,Action,,Finished,7.0,24,Apr;12;2023,Nov;28;2021,3.792
3-gatsu no Lion,188,Drama,Childcare,Finished,22.0,25,Apr;12;2023,Mar;18;2017,15.02
Barakamon,189,,Childcare,Finished,12.0,22,Apr;12;2023,Sep;28;2014,12.496
Blue Lock,190,,,Finished,24.0,24,Apr;12;2023,Mar;26;2023,8.762
Boku no Hero Academia 6th Season,191,,School,Finished,25.0,23,Apr;12;2023,Mar;25;2023,5.917
Cowboy Bebop: Tengoku no Tobira,192,Action,Adult,Finished,1.0,1,Apr;12;2023,;,1.426
Non Non Biyori Nonstop,194,,CGDCT,Finished,12.0,24,Apr;12;2023,Mar;29;2021,896.0
Kizumonogatari I: Tekketsu-hen,196,Action,,Finished,1.0,1,Apr;12;2023,;,3.363
Made in Abyss Movie 2: Hourou Suru Tasogare,197,Adventure,Gore,Finished,1.0,1,Apr;12;2023,;,197.0
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,198,Drama,Mahou,Finished,1.0,1,Apr;12;2023,;,1.023
Mushoku Tensei: Isekai Ittara Honki Dasu,193,Drama,Isekai,Finished,11.0,23,Apr;12;2023,Mar;22;2021,27.879
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,201,Comedy,Love,Finished,12.0,24,Apr;12;2023,Sep;25;2020,13.459
Baccano!,199,Action,Historical,Finished,13.0,24,Apr;12;2023,Nov;2;2007,22.85
Fumetsu no Anata e,200,Adventure,,Finished,20.0,25,Apr;12;2023,Aug;30;2021,13.478
Haikyuu!! To the Top,205,,School,Finished,13.0,24,Apr;12;2023,Apr;4;2020,4.988
Kaze no Tani no Nausicaä,206,Adventure,,Finished,1.0,1,Apr;12;2023,;,4.843
Mahou Shoujo Madoka★Magica,204,Award,Mahou,Finished,12.0,24,Apr;12;2023,Apr;22;2011,52.117
Usagi Drop,202,,Childcare,Finished,11.0,22,Apr;12;2023,Sep;16;2011,5.977
Yoru ni Kakeru,203,,,Finished,1.0,4,Apr;12;2023,;,91.0
Bakuman. 2nd Season,207,Comedy,,Finished,25.0,24,Apr;12;2023,Mar;24;2012,1.37
Dr. Stone: New World,208,Adventure,,Currently,,24,Apr;12;2023,?;,1.725
Gintama: Shiroyasha Koutan,209,Action,Historical,Finished,1.0,10,Apr;12;2023,;,88.0
Hellsing Ultimate,210,Action,Adult,Finished,10.0,49,Apr;12;2023,Dec;26;2012,20.811
K-On! Movie,211,Award,CGDCT,Finished,1.0,1,Apr;12;2023,;,2.642
Kage no Jitsuryokusha ni Naritakute!,212,Action,Isekai,Finished,20.0,23,Apr;12;2023,Feb;15;2023,9.091
Kiseijuu: Sei no Kakuritsu,214,Action,Gore,Finished,24.0,23,Apr;12;2023,Mar;26;2015,33.242
Neon Genesis Evangelion,213,Action,Mecha,Finished,26.0,24,Apr;12;2023,Mar;27;1996,99.293
Psycho-Pass,215,Action,Adult,Finished,22.0,23,Apr;12;2023,Mar;22;2013,37.507
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,216,Drama,Isekai,Finished,13.0,27,Apr;12;2023,Sep;30;2020,11.213
Major S6,217,,,Finished,25.0,24,Apr;12;2023,Sep;25;2010,470.0
Natsume Yuujinchou: Itsuka Yuki no Hi ni,218,Drama,Iyashikei,Finished,1.0,22,Apr;12;2023,;,106.0
One Outs,219,,Adult,Finished,25.0,23,Apr;12;2023,Apr;1;2009,3.924
Spy x Family Part 2,220,Action,,Finished,13.0,24,Apr;12;2023,Dec;24;2022,6.685
Tensei shitara Slime Datta Ken 2nd Season Part 2,221,Action,Isekai,Finished,12.0,23,Apr;12;2023,Sep;21;2021,10.35
Uchuu Senkan Yamato 2199,222,Action,Adult,Finished,26.0,25,Apr;12;2023,Oct;25;2013,1.709
Versailles no Bara,223,Drama,Historical,Finished,40.0,24,Apr;12;2023,Sep;3;1980,2.8
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",224,Drama,,Finished,1.0,34,Apr;12;2023,;,824.0
Bakemonogatari,225,Mystery,,Finished,15.0,25,Apr;12;2023,Jun;25;2010,47.82
Given,226,Boys,Music,Finished,11.0,22,Apr;12;2023,Sep;20;2019,16.4
Gotcha!,227,,,Finished,1.0,3,Apr;12;2023,;,224.0
Initial D First Stage,228,Action,,Finished,26.0,25,Apr;12;2023,Dec;6;1998,10.938
Kidou Senshi Gundam: The Origin,229,Action,Mecha,Finished,6.0,1,Apr;12;2023,May;5;2018,822.0
Kingdom 2nd Season,230,,Historical,Finished,39.0,25,Apr;12;2023,Mar;2;2014,823.0
Fate/stay night: Unlimited Blade Works 2nd Season,231,Action,,Finished,13.0,24,Apr;12;2023,Jun;28;2015,9.017
Katanagatari,232,Action,Historical,Finished,12.0,50,Apr;12;2023,Dec;11;2010,10.654
Kawaki wo Ameku,233,,,Finished,1.0,4,Apr;12;2023,;,190.0
Natsume Yuujinchou Go Specials,234,Drama,Iyashikei,Finished,2.0,23,Apr;12;2023,Apr;26;2017,55.0
Ookami to Koushinryou II,235,Adventure,,Finished,12.0,24,Apr;12;2023,Sep;24;2009,4.202
Romeo no Aoi Sora,236,Adventure,,Finished,33.0,23,Apr;12;2023,Dec;17;1995,616.0
Kobayashi-san Chi no Maid Dragon S,237,Fantasy,,Finished,12.0,23,Apr;12;2023,Sep;23;2021,5.727
Natsume Yuujinchou,238,Drama,Iyashikei,Finished,13.0,24,Apr;12;2023,Sep;30;2008,15.134
NHK ni Youkoso!,239,Comedy,Otaku,Finished,24.0,24,Apr;12;2023,Dec;18;2006,25.193
Sakamichi no Apollon,240,Drama,Historical,Finished,12.0,22,Apr;12;2023,Jun;29;2012,6.817
Shelter (Music),241,,,Finished,1.0,6,Apr;12;2023,;,2.413
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,242,Drama,,Finished,11.0,22,Apr;12;2023,Jun;24;2011,32.125
Boku dake ga Inai Machi,243,Mystery,Psychological,Finished,12.0,23,Apr;12;2023,Mar;25;2016,46.203
Evangelion: 2.0 You Can (Not) Advance,244,Action,Mecha,Finished,1.0,1,Apr;12;2023,;,3.349
Hunter x Hunter: Original Video Animation,245,Action,,Finished,8.0,24,Apr;12;2023,Apr;17;2002,395.0
Kemono no Souja Erin,246,Drama,,Finished,50.0,25,Apr;12;2023,Dec;26;2009,1.479
Detective Conan Movie 06: The Phantom of Baker Street,247,Adventure,,Finished,1.0,1,Apr;12;2023,;,241.0
Diamond no Ace: Second Season,248,,School,Finished,51.0,24,Apr;12;2023,Mar;28;2016,1.044
Dr. Stone: Ryuusui,262,Adventure,,Finished,1.0,54,Apr;12;2023,;,643.0
Hibike! Euphonium 2,249,,Music,Finished,13.0,23,Apr;12;2023,Dec;29;2016,3.379
IDOLiSH7 Third Beat! Part 2,250,,Idols,Finished,17.0,24,Apr;12;2023,Feb;26;2023,178.0
Kuroko no Basket 3rd Season,251,,School,Finished,25.0,24,Apr;12;2023,Jun;30;2015,5.007
Kino no Tabi: The Beautiful World,252,Action,Iyashikei,Finished,13.0,24,Apr;12;2023,Jul;8;2003,6.562
Major: World Series,253,,,Finished,2.0,28,Apr;12;2023,Jan;18;2012,104.0
